OID_,agency,agency_des,comments,municipali,sdelength_,st_area_sh,Shape_Length,Shape_Area,PercentBlack,OBJECTID,agency_des_1,ZONE_CODE,COUNT,AREA,MEAN
341,1,ORLAND TWP, , ,2367.143711,196772.3174,2367.144,196772.3939,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
343,1,BREMEN TWP, , ,732.2929671,23329.98676,732.2933353,23330.01361,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
346,1,RICH TWP, , ,1284.80249,74275.55142,1284.802879,74275.58682,,14,RICH TWP,14,2302273,57554871.91,5.041950281
347,1,ORLAND TWP, , ,16815.01315,4940500.893,15197.37719,4438130.655,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
350,1,NEW TRIER TWP, , ,6366.309103,1445627.825,6366.308637,1445627.739,,5,NEW TRIER TWP,5,177930,4448099.057,4.041398303
351,1,PALATINE TWP, , ,1960.649076,212485.2314,1960.649376,212485.2529,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
352,1,PALATINE TWP, , ,365.6656926,4596.950547,365.6656502,4596.940789,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
354,1,ELK GROVE TWP, , ,2679.596748,110861.611,2679.596594,110861.6304,,43,ELK GROVE TWP,43,1450520,36261769.48,7.045259631
356,1,RICH TWP, , ,5431.803838,1572837.546,689.0952393,27936.52871,,14,RICH TWP,14,2302273,57554871.91,5.041950281
357,1,NORTHFIELD TWP, , ,255.2191482,3273.040628,255.2192078,3273.043863,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
358,1,NORTHFIELD TWP, , ,10579.19847,3001762.089,10999.20763,2942518.631,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
359,1,BARRINGTON TWP, , ,25907.8473,2037694.465,25907.84698,2037693.97,,8,BARRINGTON TWP,8,643037,16075379.49,3.114811434
361,1,LEYDEN TWP, , ,6504.166154,829613.249,6490.923915,861327.8608,,59,LEYDEN TWP,59,2006044,50149398.21,7.608333117
362,1,BREMEN TWP, , ,922.667723,51279.82041,922.6671095,51279.80518,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
364,1,ORLAND TWP, , ,7454.16221,2409395.119,8619.624886,2557137.293,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
365,1,ORLAND TWP, , ,1339.024776,110001.9834,1339.024845,110001.9576,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
367,1,BREMEN TWP, , ,1585.218755,83035.67863,1585.218992,83035.67705,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
371,1,PALATINE TWP, , ,412.4394335,10497.15983,412.4391745,10497.14906,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
380,1,BREMEN TWP, , ,2204.986284,150020.6032,2204.986744,150020.6662,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
381,1,BREMEN TWP, , ,1008.848494,61129.84185,1008.848337,61129.82649,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
382,1,BREMEN TWP, , ,1791.423852,72556.36458,1791.423453,72556.37048,,11,BREMEN TWP,11,2817907,70445284.49,6.48265255
383,1,WORTH TWP, , ,1041.197058,66131.90377,1041.197483,66131.91648,,25,WORTH TWP,25,2781265,69529265.57,8.141495686
384,1,ORLAND TWP, , ,16815.01315,4940500.893,1903.048898,205509.9864,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
387,1,RICH TWP, , ,1597.657385,120520.975,1597.657682,120521.0233,,14,RICH TWP,14,2302273,57554871.91,5.041950281
389,1,BLOOM TWP, , ,10069.11777,3304383.511,4079.807669,786175.4871,,7,BLOOM TWP,7,2886380,72157051.4,5.433623085
390,1,ORLAND TWP, , ,6745.32678,1571998.341,6217.86517,1537927.594,,2,ORLAND TWP,2,2661557,66536667.12,3.752158605
391,1,PALATINE TWP, , ,1986.969711,169345.5004,1986.968966,169345.4828,,4,PALATINE TWP,4,2180153,54501975.51,3.088485992
392,1,RICH TWP, , ,5431.803838,1572837.546,2045.057065,230364.1782,,14,RICH TWP,14,2302273,57554871.91,5.041950281
395,1,NORTHFIELD TWP, , ,30481.24067,21340400.18,30481.24197,21340399.84,,1,NORTHFIELD TWP,1,2663935,66596115.11,6.034759106
396,1,WORTH TWP, , ,36807.56453,13423074.31,2002.074882,148965.0241,,25,WORTH TWP,25,2781265,69529265.57,8.141495686
